ID,Language_ID,Analect,Label,Source,Comment
3,nen,F,,evans-2013,
4,kayardild,F,,evans-1995,"O forms are sensitive to TAM, e.g. 1sgActualO ngijinji, 1sgPotentialO ngijinju etc. Only the ActualO forms are included here, the others pattern similarly."
5,nambu,F,,evans-2013,
6,lardil,,,ngakulmungan-kangka-leman-1997,"Non-singular harmonic form is entered, disharmonic is not."
7,dalabon,,,evans-et-al-2004,
8,idi,F,,evans-2013,
9,taeme,F,,philip-tama-2013,
10,ngkntra,F,,carroll-2013,
11,tamil,F,,annamalai-and-steever-1998,
12,kannada,F,,steever-1997,
13,bininj-gun-wok,F,,evans-2003,
14,ngalakan,,,merlan-1983,
15,suki,F,,van-tongeren-2013,Third person inanimates are usually referred to with nouns/demonstratives rather than third person pronouns. I should check again if/to what extent they can be referred to with pronouns at all (CvT).
16,rembarrnga,,,saulwick-2003,
17,ngiyambaa,,,donaldson-1980,
18,djapu,F,,morphy-1983,
19,warta-thundai,F,,quinn,
20,paamese,,,crowley-1982,
21,samoan,,,pratt-1893,
23,russian,F,,pulkina-1975,"For genitive forms, masculine nominative forms of the possessive pronouns are cited, e.g. moj for 1sgPOSS."
24,german,F,,evans-2013,
25,toqabaqita,,,lichtenberk-2008,
26,italian,F,,evans-2013,
27,boumaa-fijian,F,,dixon-1988,
29,komnzo,,,dohler-2016,
30,mblafe,F,,doehler-2013,
31,kunja-bondobol,,,doehler-2013,
33,latin,,,kennedy-1952,possessive adjective - citation form
34,dutch,F,,spronck-2013,
35,ungarinyin,F,,alan-rumsey-1982,
36,maranunggu,,,tryon-1970,
37,malak-malak,F,,birk-1976,
38,kalkutungu,F,,black1979,
39,ritharngu,F,,heath-1980b,
41,garlali,F,,mcdonald-and-wurm-1979,
42,paakantyi,F,,hercus-1982,
43,wandarang,F,,heath-1980a,
44,yuwaalaraay,F,,williams-1980,"Question marks copied from the source, where author was unsure of the forms."
45,jaru,F,,tsunoda-1981,
46,tyeraity,,,breen-1990,
47,mara,F,,heath-1981,
48,worrorra,F,,capell-and-coate-1984,
49,wilawila,F,,capell-and-coate-1984,
50,gambera,F,,capell-and-coate-1984,
51,yawijibaya,,,capell-and-coate-1984,The following possessive paradigm is for Worora.
52,yindjibarndi,F,,wordick-1982,
54,muruwari,F,,oates-1988,
55,wangkajunga,F,,jones-2011,
56,tolaki,,,edwards,
57,nyulnyul,F,,mcgregor-2011,
58,yalarnnga,F,,breen-and-blake-2007,Where there is an empty cell there is a lack of data.
60,salako,,,adelaar-2002,
61,timugon-murut,F,,brewis-2002,"At a loss to know how Brewis' (2002) notes applies (if it does) to the pronouns: 'Nominative marks Subject, Genitive marks Actor as Non-Subject and Dative marks Non-Actor as Non-Subject (Oblique)'. Set A column to the Nominitive form. Set both O and poss columns to Genitive form."
62,jingulu,F,,pensalfini-2003,"""The Warranganku dialect... has a separate set of Genitive pronouns, used to refer to a possessor, formed by adding a linking vowel and a gender agreement suffix to the root so that the pronouns agrees (sic) in gender with the possessum. If the possessum is masculine the Genetive pronoun ends in /-na/...if feminine /-rnini/...if neuter /-nu/...and if vegetable gender the Genitive pronoun ends in /-rnimi/..."" p154
Just the genitive stems have been provided here."
63,wargamay,F,,dixon-rmw-and-barry-j-blake-1981,
64,watjarri,F,,douglas-1981,
65,neme,F,,evans-2012,
66,inanwatan,F,,de-vries-2004,"""Inawatan has both free and bound possessive pronominal forms. The free forms express alienable possession, the possessive prefixes express inalienable possession."" p29 The free, alienable, forms have been provided here. They express the gender of the possessor by taking suffix -so ""masculine"" or -wo ""feminine""."
67,old-church-slavonic,F,,huntley-1993,
68,bulgarian,F,,scatton-1993,
69,macedonian,F,,friedman-1993,
70,serbian-croatian,F,,browne-1993,
71,slovene,F,,priestly-1993,
72,czech,F,,short-1993a,
73,slovak,F,,short-1993b,
74,upper-sorbian,F,,stone-1993b,
75,lower-sorbian,F,,stone-1993b,
76,polish,F,,rothstein-1993,"Some person number combinations have up to three alternatives. In such cases the monosyllabic form is an enclitic, the bisyllabic form are emphatic, and the forms beginning with n- only occur as objects of prepositions."
77,cassubian,F,,stone-1993a,
78,belorussian,F,,mayo-1993,
79,ukrainian,F,,shevelov-1993,
80,kwini,F,,mcgregor-1993,
81,enggano,,,kahler-1940,
82,puyuma,F,,teng-2007,cpaital letters are used for retoflexes
83,palauan,,,josephs-1975,
84,spanish,F,,Butt-and-Benjamin-1988,
86,sardinian,F,,jones-1988,
87,rumanian,,,mallinson-1988,
88,occitan,,,wheeler-1988b,
89,french,F,,harris-1988,
90,catalan,,,wheeler-1988a,
91,portuguese,F,,parkinson-1988,
92,gothic,F,,harbert-2007,
93,amarasi,F,,grimes-et-at-2013,"The A/S pronouns are used for possession, usually in conjunction with a genitive suffix on the possessum.

Additional information gleaned from Edwards, Owen. 2016. Metathesis and Unmatathesis: Parallelism and Complementarity in Amarasi, Timor. PhD Dissertation. The Australian National University: Canberra."
95,danish,F,,harbert-2007,
96,western-frisian,F,,harbert-2007,
97,kuku-yalanji,F,,patz-2002,
98,selepet,F,,mcelhanon-1972,McElhanon 1970 'Selepete Pronominal Elements' Pac Ling A25: 23-48  may be a better source
99,gooniyandi,F,,mcgregor-1990,
103,ngankikurungkurr,F,,hoddinott-and-kofod-1988,
104,djinang,F,,waters-1989,
105,martuthunira,F,,dench-1995,"""The third person plural pronoun has the very restricted function of serving as a definite anaphor for plural noun phrases. It refers to a group of entities already established in text and specifically implies that the membership of that group has not changed. This emphasis on no change in group membership is unimportant for anaphoric reference to noun phrases denoting individuals (singular) or pairs of individuals (duals) and it is thus not surprising that pularna has no singular or dual counterparts."" p103 Demonstratives are used for 3sg reference."
106,wambaya,F,,nordlinger-1998,"The possessive pronouns provided here are for Class 1, with singular, nominative/accusative agreement.
Demonstratives are used with the function of third person singular pronouns. Both proximate and distal forms ""...each distinguish the four nominal genders, three numbers (singular, dual, plural), and at least four cases (nominative, accusative, ergative/locative and dative) although, as with most nominals, the nominative and accusative case forms are homophonous."" p107 Here, the proximate Class 1 and Class 3 nominative/accusative forms have been provided."
107,wunambal,F,,carr-2000,
108,nyawaygi,F,,dixon-1983,
109,salt-yui,F,,irwin-1974,"Owen: This language really does only have two pronouns. Owen's added in the possessives. 
Louise: While there are no dedicated third person pronouns, demonstratives used with the words 'yal' 'man', 'al' 'woman' and 'gir' 'offspring' are used with this function (p32, 34)."
111,wahgi,F,,phillips-1976,
113,chamorro,,,topping-1973,
114,bislama,F,,tryon-1987,
115,tok-pisin,F,,woodford-1979,
116,kristang,F,,baxter-1988,
117,bunuba,F,,rumsey-2000,
118,ndjebbana,,,mckay-2000,"Ndjébbana has a minimal / unit augmented / augmented number system. For the 12pl forms, we enter the augmented forms (i.e. 11st inclusive, four or more) rather than the unit augmented ones (i.e. 1st inclusive, trial)."
119,atampaya,F,,crowley-1983,
120,angkamuthi,F,,crowley-1983,
121,yorta-yorta,F,,bowe-and-morey-1999,
122,arabana,F,,hercus-1994,
